"","pollster","numeric_grade","pollscore","transparency_score","state","start_date","end_date","sample_size","population","population_full","hypothetical","party","answer","candidate_name","pct"
"1","U. New Hampshire",3,-0.428870130773749,5.72777516348287,"Arizona",2024-10-11,2024-10-24,7273,"rv","Registered Voters",1,"DEM","Kamala Harris","Kamala Harris",42.9
"2","University of Massachusetts Lowell/YouGov",3,-0.87055004761714,8.1526732291095,"Arizona",2024-10-03,2024-10-21,1192,"lv","Likely Voters",1,"DEM","Kamala Harris","Kamala Harris",47.4
"3","University of Maryland/Washington Post",3,-1.24877705568202,9.40890432428569,"Iowa",2024-10-11,2024-10-31,1955,"lv","Registered Voters",0,"DEM","Donald Trump","Kamala Harris",56.8
"4","The Washington Post",2,-0.813948767574672,4.7426570658572,"Montana",2024-10-01,2024-10-21,3691,"rv","Likely Voters",1,"REP","Kamala Harris","Donald Trump",51.7
"5","SurveyUSA",2,-1.5717460813299,6.13815621472895,"Pennsylvania",2024-10-07,2024-10-28,1688,"rv","Registered Voters",0,"REP","Kamala Harris","Kamala Harris",52.9
"6","Roanoke College",2,-0.658519410318276,7.4377343703527,"Rhode Island",2024-10-13,2024-10-30,4837,"rv","Likely Voters",1,"DEM","Donald Trump","Kamala Harris",51.2
"7","Marquette Law School",2,-0.613398437315024,5.4511994344648,"New Hampshire",2024-10-14,2024-10-29,6579,"rv","Registered Voters",0,"REP","Donald Trump","Donald Trump",35.8
"8","Siena",3,-1.26262259859839,3.87411969318055,"New Mexico",2024-10-08,2024-10-16,1604,"lv","Likely Voters",1,"DEM","Donald Trump","Kamala Harris",34.5
"9","Beacon/Shaw",2,-1.56085097440473,5.07336293067783,"Virginia",2024-10-02,2024-10-29,6007,"rv","Likely Voters",1,"DEM","Donald Trump","Donald Trump",59.5
"10","PPIC",3,-1.2497571112833,9.29408871079795,"New Mexico",2024-10-11,2024-10-18,3151,"lv","Registered Voters",0,"DEM","Donald Trump","Donald Trump",37
"11","Hart/POS",2,-0.82451553100749,6.34467354952358,"Massachusetts",2024-10-12,2024-10-21,1912,"lv","Registered Voters",1,"REP","Donald Trump","Donald Trump",37.6
"12","University of Maryland/Washington Post",3,-1.09011161225657,7.6834679688327,"Ohio",2024-10-10,2024-10-28,2119,"lv","Registered Voters",1,"REP","Kamala Harris","Kamala Harris",59.7
"13","Beacon/Shaw",2,-2.5743934090766,4.5558791863732,"Maine CD-2",2024-10-03,2024-10-18,5637,"lv","Registered Voters",1,"DEM","Kamala Harris","Donald Trump",58.6
"14","Mason-Dixon",2,-1.67828792680827,4.42922230740078,"Vermont",2024-10-13,2024-10-30,5198,"lv","Likely Voters",1,"DEM","Kamala Harris","Donald Trump",33.7
"15","East Carolina University",3,-0.482878118131123,8.01343670603819,"Arizona",2024-10-09,2024-10-24,7822,"rv","Registered Voters",0,"DEM","Kamala Harris","Donald Trump",37
"16","Roanoke College",3,0.289462261504484,5.02034718147479,"Texas",2024-10-10,2024-10-17,710,"lv","Registered Voters",1,"REP","Donald Trump","Kamala Harris",47.4
"17","Quinnipiac",2,-1.61001381877396,8.2099723550491,"Texas",2024-10-13,2024-10-27,6603,"rv","Registered Voters",1,"REP","Donald Trump","Kamala Harris",45.7
"18","University of Massachusetts Lowell/YouGov",2,-0.703072403762487,1.47774600470439,"New York",2024-10-05,2024-10-30,3850,"rv","Likely Voters",1,"REP","Donald Trump","Donald Trump",50
"19","Ipsos",3,-0.259986562012977,7.08345337817445,"Texas",2024-10-11,2024-10-16,828,"lv","Likely Voters",1,"REP","Kamala Harris","Kamala Harris",56.2
"20","Siena/NYT",2,-0.702675914882385,1.99687370634638,"Missouri",2024-10-01,2024-10-28,2652,"lv","Registered Voters",0,"DEM","Donald Trump","Donald Trump",35.6
"21","Ipsos",2,-1.50384351659471,6.03440611320548,"Nebraska",2024-10-03,2024-10-21,6677,"lv","Registered Voters",1,"REP","Kamala Harris","Kamala Harris",48.5
"22","Elon U.",3,-0.674262141849839,6.21012706379406,"New York",2024-10-04,2024-10-31,7524,"rv","Likely Voters",0,"DEM","Kamala Harris","Kamala Harris",45.1
"23","AtlasIntel",2,-0.243910158382862,1.48339261836372,"Nebraska",2024-10-08,2024-10-31,589,"lv","Likely Voters",0,"DEM","Donald Trump","Kamala Harris",36.5
"24","YouGov/Center for Working Class Politics",2,-0.943757935613217,8.75094983214512,"National",2024-10-11,2024-10-29,4287,"rv","Likely Voters",1,"DEM","Donald Trump","Donald Trump",49
