state,end_date,sample_size,candidate_name,pct
National,2024-10-16,1000,Kamala Harris,49.5
National,2024-10-16,1000,Donald Trump,49.2
Arizona,2024-10-16,1435,Kamala Harris,48
Arizona,2024-10-16,1435,Donald Trump,51
National,2024-10-15,1457,Kamala Harris,48
National,2024-10-15,1457,Donald Trump,45
National,2024-10-15,1314,Kamala Harris,49
National,2024-10-15,1314,Donald Trump,45
California,2024-10-14,1000,Kamala Harris,61
California,2024-10-14,1000,Donald Trump,36.6
National,2024-10-14,1110,Kamala Harris,48
National,2024-10-14,1110,Donald Trump,50
National,2024-10-14,870,Kamala Harris,48
National,2024-10-14,870,Donald Trump,50
Georgia,2024-10-14,1328,Kamala Harris,45
Georgia,2024-10-14,1328,Donald Trump,52
Georgia,2024-10-14,1328,Kamala Harris,46
Georgia,2024-10-14,1328,Donald Trump,52
North Carolina,2024-10-14,1031,Kamala Harris,49
North Carolina,2024-10-14,1031,Donald Trump,47
North Carolina,2024-10-14,1031,Kamala Harris,50
North Carolina,2024-10-14,1031,Donald Trump,47
Washington,2024-10-14,703,Kamala Harris,57
Washington,2024-10-14,703,Donald Trump,35
Georgia,2024-10-14,701,Kamala Harris,45.8
Georgia,2024-10-14,701,Donald Trump,48.9
National,2024-10-14,806,Kamala Harris,50
National,2024-10-14,806,Donald Trump,47
National,2024-10-13,807,Kamala Harris,45
National,2024-10-13,807,Donald Trump,42
National,2024-10-13,769,Kamala Harris,47
National,2024-10-13,769,Donald Trump,44
National,2024-10-13,938,Kamala Harris,41
National,2024-10-13,938,Donald Trump,37
National,2024-10-11,2712,Kamala Harris,51
National,2024-10-11,2712,Donald Trump,48
National,2024-10-10,1401,Kamala Harris,52
National,2024-10-10,1401,Donald Trump,47
National,2024-10-10,1708,Kamala Harris,51
National,2024-10-10,1708,Donald Trump,48
Pennsylvania,2024-10-10,857,Kamala Harris,50
Pennsylvania,2024-10-10,857,Donald Trump,47
Pennsylvania,2024-10-10,857,Kamala Harris,49
Pennsylvania,2024-10-10,857,Donald Trump,45
Pennsylvania,2024-10-10,857,Kamala Harris,50
Pennsylvania,2024-10-10,857,Donald Trump,47
Pennsylvania,2024-10-10,857,Kamala Harris,49
Pennsylvania,2024-10-10,857,Donald Trump,45
Arizona,2024-10-10,808,Kamala Harris,46
Arizona,2024-10-10,808,Donald Trump,51
Arizona,2024-10-10,808,Kamala Harris,45
Arizona,2024-10-10,808,Donald Trump,50
Arizona,2024-10-10,808,Kamala Harris,45
Arizona,2024-10-10,808,Donald Trump,51
Arizona,2024-10-10,808,Kamala Harris,44
Arizona,2024-10-10,808,Donald Trump,49
New Hampshire,2024-10-10,600,Kamala Harris,50
New Hampshire,2024-10-10,600,Donald Trump,41
Texas,2024-10-10,1091,Kamala Harris,46
Texas,2024-10-10,1091,Donald Trump,51
National,2024-10-10,780,Kamala Harris,50
National,2024-10-10,780,Donald Trump,50
National,2024-10-10,780,Kamala Harris,43
National,2024-10-10,780,Donald Trump,39
National,2024-10-10,652,Kamala Harris,50
National,2024-10-10,652,Donald Trump,50
National,2024-10-10,652,Kamala Harris,44
National,2024-10-10,652,Donald Trump,41
Pennsylvania,2024-10-09,800,Kamala Harris,46
Pennsylvania,2024-10-09,800,Donald Trump,45
Arizona,2024-10-08,1000,Kamala Harris,48.2
Arizona,2024-10-08,1000,Donald Trump,50.5
Georgia,2024-10-08,1000,Kamala Harris,49.8
Georgia,2024-10-08,1000,Donald Trump,49.7
Michigan,2024-10-08,950,Kamala Harris,49.7
Michigan,2024-10-08,950,Donald Trump,49.6
Nevada,2024-10-08,900,Kamala Harris,49.2
Nevada,2024-10-08,900,Donald Trump,48.1
North Carolina,2024-10-08,1000,Kamala Harris,49
North Carolina,2024-10-08,1000,Donald Trump,49.9
Pennsylvania,2024-10-08,1000,Kamala Harris,49
Pennsylvania,2024-10-08,1000,Donald Trump,49.7
Wisconsin,2024-10-08,1000,Kamala Harris,49.2
Wisconsin,2024-10-08,1000,Donald Trump,49.9
Montana,2024-10-08,656,Kamala Harris,39
Montana,2024-10-08,656,Donald Trump,57
Montana,2024-10-08,656,Kamala Harris,38
Montana,2024-10-08,656,Donald Trump,56
Montana,2024-10-08,656,Kamala Harris,40
Montana,2024-10-08,656,Donald Trump,57
Montana,2024-10-08,656,Kamala Harris,39
Montana,2024-10-08,656,Donald Trump,56
National,2024-10-08,1000,Kamala Harris,46
National,2024-10-08,1000,Donald Trump,47
National,2024-10-08,1000,Kamala Harris,48
National,2024-10-08,1000,Donald Trump,48
National,2024-10-08,2631,Kamala Harris,49
National,2024-10-08,2631,Donald Trump,48
National,2024-10-08,2226,Kamala Harris,49
National,2024-10-08,2226,Donald Trump,47
National,2024-10-08,1714,Kamala Harris,50
National,2024-10-08,1714,Donald Trump,48
National,2024-10-08,2631,Kamala Harris,50
National,2024-10-08,2631,Donald Trump,49
National,2024-10-08,2226,Kamala Harris,50
National,2024-10-08,2226,Donald Trump,49
National,2024-10-08,1714,Kamala Harris,51
National,2024-10-08,1714,Donald Trump,48
National,2024-10-07,1414,Kamala Harris,47
National,2024-10-07,1414,Donald Trump,44
National,2024-10-07,1230,Kamala Harris,49
National,2024-10-07,1230,Donald Trump,45
National,2024-10-07,1272,Kamala Harris,42
National,2024-10-07,1272,Donald Trump,38
National,2024-10-07,1076,Kamala Harris,46
National,2024-10-07,1076,Donald Trump,43
National,2024-10-07,1076,Kamala Harris,47
National,2024-10-07,1076,Donald Trump,45
National,2024-10-07,1272,Kamala Harris,48
National,2024-10-07,1272,Donald Trump,47
National,2024-10-07,1076,Kamala Harris,50
National,2024-10-07,1076,Donald Trump,48
National,2024-10-07,1076,Kamala Harris,51
National,2024-10-07,1076,Donald Trump,49
Michigan,2024-10-07,1007,Kamala Harris,47
Michigan,2024-10-07,1007,Donald Trump,50
Michigan,2024-10-07,1007,Kamala Harris,47
Michigan,2024-10-07,1007,Donald Trump,51
Pennsylvania,2024-10-07,1412,Kamala Harris,49
Pennsylvania,2024-10-07,1412,Donald Trump,46
Pennsylvania,2024-10-07,1412,Kamala Harris,49
Pennsylvania,2024-10-07,1412,Donald Trump,47
Wisconsin,2024-10-07,1073,Kamala Harris,46
Wisconsin,2024-10-07,1073,Donald Trump,48
Wisconsin,2024-10-07,1073,Kamala Harris,47
Wisconsin,2024-10-07,1073,Donald Trump,49
Florida,2024-10-07,1257,Kamala Harris,47
Florida,2024-10-07,1257,Donald Trump,51
Florida,2024-10-07,1410,Kamala Harris,47
Florida,2024-10-07,1410,Donald Trump,51
Texas,2024-10-07,1365,Kamala Harris,46
Texas,2024-10-07,1365,Donald Trump,52
Texas,2024-10-07,1186,Kamala Harris,46
Texas,2024-10-07,1186,Donald Trump,53
Ohio,2024-10-07,1511,Kamala Harris,46
Ohio,2024-10-07,1511,Donald Trump,52
Ohio,2024-10-07,1327,Kamala Harris,46
Ohio,2024-10-07,1327,Donald Trump,52
Ohio,2024-10-07,1002,Kamala Harris,45
Ohio,2024-10-07,1002,Donald Trump,51
Ohio,2024-10-07,1002,Kamala Harris,44
Ohio,2024-10-07,1002,Donald Trump,51
National,2024-10-06,4025,Kamala Harris,48
National,2024-10-06,4025,Donald Trump,47
National,2024-10-06,4025,Kamala Harris,50
National,2024-10-06,4025,Donald Trump,49
National,2024-10-06,3385,Kamala Harris,49
National,2024-10-06,3385,Donald Trump,46
National,2024-10-06,3385,Kamala Harris,47
National,2024-10-06,3385,Donald Trump,44
Florida,2024-10-06,622,Kamala Harris,41
Florida,2024-10-06,622,Donald Trump,55
Florida,2024-10-06,622,Kamala Harris,40
Florida,2024-10-06,622,Donald Trump,53
Florida,2024-10-06,622,Kamala Harris,41
Florida,2024-10-06,622,Donald Trump,54
Florida,2024-10-06,622,Kamala Harris,40
Florida,2024-10-06,622,Donald Trump,53
Massachusetts,2024-10-05,500,Kamala Harris,61.2
Massachusetts,2024-10-05,500,Donald Trump,32.2
National,2024-10-04,1150,Kamala Harris,46
National,2024-10-04,1150,Donald Trump,45
National,2024-10-04,1032,Kamala Harris,47
National,2024-10-04,1032,Donald Trump,47
National,2024-10-04,1151,Kamala Harris,48
National,2024-10-04,1151,Donald Trump,46
National,2024-10-04,1033,Kamala Harris,48
National,2024-10-04,1033,Donald Trump,47
Florida,2024-10-04,625,Kamala Harris,43
Florida,2024-10-04,625,Donald Trump,49
Texas,2024-10-04,617,Kamala Harris,44
Texas,2024-10-04,617,Donald Trump,50
Texas,2024-10-04,617,Kamala Harris,42
Texas,2024-10-04,617,Donald Trump,49
Texas,2024-10-04,617,Kamala Harris,44
Texas,2024-10-04,617,Donald Trump,50
Texas,2024-10-04,617,Kamala Harris,41
Texas,2024-10-04,617,Donald Trump,48
Virginia,2024-10-04,800,Kamala Harris,52
Virginia,2024-10-04,800,Donald Trump,41
National,2024-10-03,1211,Kamala Harris,49
National,2024-10-03,1211,Donald Trump,46
Pennsylvania,2024-10-02,1000,Kamala Harris,46.8
Pennsylvania,2024-10-02,1000,Donald Trump,44.7
National,2024-10-01,1463,Kamala Harris,48
National,2024-10-01,1463,Donald Trump,45
National,2024-10-01,1261,Kamala Harris,49
National,2024-10-01,1261,Donald Trump,46
National,2024-10-01,1000,Kamala Harris,50.2
National,2024-10-01,1000,Donald Trump,48.6
